Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,Purchase_Date
Fenty Beauty,Facial Oil,1537.03,3.7,149,Combination,26-35,Alpha Arbutin,Azelaic Acid,Hyperpigmentation,2024-03-14
Fresh,Face Mask,695.99,3.2,26,Sensitive,56+,Zinc Oxide,Glycolic Acid,Dullness,2025-04-28
Tatcha,Serum,4268.35,5.0,57,Acne-prone,18-25,Vitamin C,Tea Tree Oil,Redness,2025-02-06
Youth to the People,Toner,1117.49,3.3,73,Sensitive,18-25,Salicylic Acid,Retinol,Acne,2024-03-07
La Roche-Posay,Night Cream,1905.9,4.6,102,Dry,26-35,Retinol,Kojic Acid,Anti-aging,2024-12-12
Tatcha,Serum,2400.2,4.2,77,Acne-prone,36-45,Squalane,Glycolic Acid,Dullness,2024-04-09
Youth to the People,Moisturizer,1821.32,4.2,10,Dry,36-45,Bakuchiol,Zinc Oxide,Uneven texture,2023-10-23
Drunk Elephant,Facial Oil,3080.46,5.0,168,Dry,46-55,Glycolic Acid,Niacinamide,Dullness,2024-07-30
Glossier,Cleanser,667.94,3.2,91,Dry,46-55,Vitamin C,Ceramides,Sensitivity,2025-05-28
Paula's Choice,Exfoliant,1752.69,3.7,65,Combination,56+,Salicylic Acid,Hyaluronic Acid,Oiliness,2024-02-29
Skinceuticals,Moisturizer,2235.04,4.6,6,Sensitive,36-45,Benzoyl Peroxide,Retinol,Redness,2024-08-27
Drunk Elephant,Night Cream,2597.47,5.0,249,Normal,26-35,Zinc Oxide,Kojic Acid,Hyperpigmentation,2024-07-11
Glossier,Face Mask,1074.48,4.5,10,Sensitive,18-25,Jojoba Oil,Niacinamide,Redness,2024-03-05
CeraVe,Sunscreen,760.44,3.2,3,Normal,46-55,Hyaluronic Acid,Vitamin C,Fine lines,2024-02-19
Olay,Serum,2155.28,4.7,37,Normal,26-35,Vitamin C,Zinc Oxide,Dryness,2025-06-07
Fenty Beauty,Eye Cream,1672.63,5.0,199,Sensitive,26-35,Glycolic Acid,Salicylic Acid,Hyperpigmentation,2024-04-13
Paula's Choice,Serum,2266.59,5.0,111,Dry,56+,Vitamin C,Alpha Arbutin,Dryness,2025-03-29
Origins,Face Mask,766.09,3.9,16,Dry,18-25,Benzoyl Peroxide,Bakuchiol,Dullness,2025-04-20
CeraVe,Cleanser,826.3,3.9,82,Normal,56+,Alpha Arbutin,Hyaluronic Acid,Oiliness,2025-08-07
Estee Lauder,Exfoliant,1609.69,3.0,37,Dry,46-55,Bakuchiol,Alpha Arbutin,Acne,2024-07-28
CeraVe,Exfoliant,1241.19,3.8,210,Combination,46-55,Hyaluronic Acid,Zinc Oxide,Dryness,2024-10-12
Youth to the People,Serum,2492.44,3.4,12,Oily,46-55,Hyaluronic Acid,Kojic Acid,Anti-aging,2023-12-01
Aveeno,Eye Cream,2099.02,5.0,168,Combination,56+,Tea Tree Oil,Niacinamide,Dryness,2025-09-18
Olay,Cleanser,659.17,4.7,36,Sensitive,46-55,Peptides,Ceramides,Pores,2024-07-30
CeraVe,Facial Oil,2277.11,4.3,13,Acne-prone,46-55,Lactic Acid,Bakuchiol,Dark spots,2023-10-08
La Roche-Posay,Night Cream,3592.02,5.0,86,Dry,18-25,Lactic Acid,Titanium Dioxide,Redness,2024-01-06
Paula's Choice,Eye Cream,2730.54,4.3,24,Normal,18-25,Hyaluronic Acid,Vitamin C,Dullness,2025-09-02
The Ordinary,Face Mask,546.97,2.6,546,Oily,36-45,Hyaluronic Acid,Retinol,Dryness,2025-05-04
Estee Lauder,Moisturizer,1285.19,4.4,5,Acne-prone,36-45,Glycolic Acid,Salicylic Acid,Hyperpigmentation,2024-07-09
Origins,Moisturizer,1248.89,3.4,17,Combination,56+,Niacinamide,Vitamin C,Oiliness,2025-06-27
Paula's Choice,Serum,2445.16,4.5,68,Combination,56+,Zinc Oxide,Salicylic Acid,Fine lines,2025-01-16
Estee Lauder,Night Cream,3111.89,5.0,44,Combination,26-35,Glycolic Acid,Azelaic Acid,Dryness,2025-06-30
La Roche-Posay,Night Cream,1683.25,3.6,55,Dry,56+,Bakuchiol,Vitamin C,Dark spots,2025-05-28
The Ordinary,Facial Oil,1050.55,3.6,310,Sensitive,18-25,Vitamin C,Hyaluronic Acid,Dark spots,2025-05-06
Fresh,Moisturizer,950.43,3.6,123,Acne-prone,36-45,Salicylic Acid,Lactic Acid,Hyperpigmentation,2024-01-15
Youth to the People,Sunscreen,718.11,3.8,146,Sensitive,36-45,Bakuchiol,Retinol,Fine lines,2024-08-27
Youth to the People,Facial Oil,1626.58,4.7,39,Dry,56+,Squalane,Peptides,Redness,2024-08-17
Origins,Eye Cream,3161.85,5.0,88,Oily,18-25,Squalane,Lactic Acid,Redness,2025-03-03
Fenty Beauty,Exfoliant,1128.53,3.0,47,Combination,26-35,Squalane,Lactic Acid,Pores,2024-08-12
La Roche-Posay,Moisturizer,1799.25,5.0,15,Acne-prone,26-35,Titanium Dioxide,Ceramides,Acne,2024-09-05
Clinique,Moisturizer,2200.2,5.0,39,Combination,18-25,Tea Tree Oil,Titanium Dioxide,Dryness,2024-10-12
Aveeno,Serum,1231.08,4.5,36,Normal,36-45,Jojoba Oil,Niacinamide,Oiliness,2024-05-19
Origins,Serum,1357.4,4.4,12,Normal,36-45,Squalane,Bakuchiol,Hyperpigmentation,2023-10-17
Drunk Elephant,Face Mask,1148.39,3.6,18,Oily,46-55,Vitamin C,Zinc Oxide,Dryness,2024-10-17
Tatcha,Moisturizer,2249.58,4.5,8,Oily,36-45,Salicylic Acid,Azelaic Acid,Pores,2023-10-28
The Ordinary,Exfoliant,2019.36,3.5,58,Sensitive,26-35,Ceramides,Hyaluronic Acid,Dullness,2023-10-05
Glossier,Eye Cream,2243.3,5.0,96,Acne-prone,46-55,Peptides,Salicylic Acid,Hyperpigmentation,2023-11-04
The Ordinary,Night Cream,2406.81,4.7,18,Combination,46-55,Peptides,Titanium Dioxide,Hyperpigmentation,2025-08-23
Skinceuticals,Facial Oil,2437.83,5.0,12,Acne-prone,46-55,Squalane,Ceramides,Dullness,2024-10-05
Paula's Choice,Serum,2021.9,3.8,52,Normal,36-45,Titanium Dioxide,Alpha Arbutin,Fine lines,2025-09-13
CeraVe,Night Cream,1778.2,5.0,25,Dry,36-45,Tea Tree Oil,Titanium Dioxide,Sensitivity,2024-10-26
Clinique,Cleanser,914.9,3.5,49,Combination,56+,Benzoyl Peroxide,Glycolic Acid,Hyperpigmentation,2025-01-24
Rare Beauty,Cleanser,877.6,3.2,71,Oily,46-55,Ceramides,Squalane,Sensitivity,2025-01-10
Origins,Night Cream,2095.7,4.2,732,Acne-prone,46-55,Glycolic Acid,Alpha Arbutin,Dryness,2024-10-19
La Roche-Posay,Moisturizer,1083.6,3.4,90,Acne-prone,36-45,Zinc Oxide,Ceramides,Fine lines,2025-01-14
La Roche-Posay,Night Cream,1415.22,2.6,12,Combination,36-45,Titanium Dioxide,Kojic Acid,Uneven texture,2025-07-03
Clinique,Facial Oil,3862.34,5.0,51,Sensitive,26-35,Azelaic Acid,Kojic Acid,Fine lines,2024-02-06
Glossier,Eye Cream,2441.97,5.0,25,Oily,46-55,Niacinamide,Bakuchiol,Dryness,2025-01-07
L'Oreal,Exfoliant,1610.45,5.0,6,Dry,18-25,Retinol,Peptides,Pores,2024-08-06
Origins,Night Cream,3446.66,5.0,20,Acne-prone,18-25,Hyaluronic Acid,Zinc Oxide,Acne,2024-06-05
Estee Lauder,Cleanser,957.34,4.2,4,Sensitive,36-45,Kojic Acid,Alpha Arbutin,Sensitivity,2024-03-26
Aveeno,Exfoliant,1258.76,2.8,8,Dry,46-55,Jojoba Oil,Retinol,Oiliness,2024-03-09
Aveeno,Exfoliant,1176.25,4.0,94,Oily,46-55,Azelaic Acid,Bakuchiol,Acne,2024-07-24
Paula's Choice,Night Cream,2730.67,4.3,10,Combination,36-45,Hyaluronic Acid,Ceramides,Sensitivity,2024-10-06
Fenty Beauty,Exfoliant,1873.98,4.2,30,Oily,18-25,Lactic Acid,Jojoba Oil,Dullness,2024-05-13
Tatcha,Moisturizer,2822.24,5.0,83,Dry,18-25,Benzoyl Peroxide,Peptides,Hyperpigmentation,2024-10-22
Youth to the People,Toner,1266.64,4.0,14,Dry,46-55,Benzoyl Peroxide,Tea Tree Oil,Oiliness,2023-09-27
Tatcha,Serum,2127.4,2.8,404,Dry,18-25,Hyaluronic Acid,Vitamin C,Oiliness,2025-08-06
Aveeno,Eye Cream,1547.03,3.5,6,Combination,26-35,Alpha Arbutin,Peptides,Acne,2025-05-04
Drunk Elephant,Toner,1409.71,3.7,7,Acne-prone,56+,Glycolic Acid,Hyaluronic Acid,Dullness,2025-04-15
Estee Lauder,Exfoliant,2415.25,4.7,179,Dry,36-45,Ceramides,Azelaic Acid,Pores,2024-11-19
Neutrogena,Sunscreen,1495.87,4.8,14,Dry,36-45,Glycolic Acid,Retinol,Dark spots,2023-10-29
CeraVe,Moisturizer,954.94,4.3,109,Dry,46-55,Retinol,Kojic Acid,Dryness,2024-10-18
Glossier,Eye Cream,1894.88,5.0,6,Acne-prone,26-35,Retinol,Peptides,Acne,2025-05-25
Glossier,Night Cream,2095.61,4.7,122,Sensitive,26-35,Alpha Arbutin,Jojoba Oil,Anti-aging,2024-01-11
Neutrogena,Serum,1965.64,4.3,26,Oily,26-35,Vitamin C,Lactic Acid,Dryness,2024-11-29
Glossier,Night Cream,1439.7,3.8,115,Normal,46-55,Alpha Arbutin,Lactic Acid,Hyperpigmentation,2024-12-27
Youth to the People,Eye Cream,2323.8,5.0,659,Oily,18-25,Niacinamide,Glycolic Acid,Hyperpigmentation,2025-06-03
Rare Beauty,Sunscreen,1504.81,4.8,61,Combination,46-55,Lactic Acid,Hyaluronic Acid,Hyperpigmentation,2024-11-22
Aveeno,Facial Oil,1136.21,4.9,126,Dry,46-55,Tea Tree Oil,Salicylic Acid,Sensitivity,2024-06-04
Fenty Beauty,Eye Cream,3154.25,5.0,20,Dry,56+,Alpha Arbutin,Lactic Acid,Pores,2024-04-21
Fenty Beauty,Moisturizer,1805.69,4.6,50,Sensitive,26-35,Alpha Arbutin,Lactic Acid,Dryness,2025-01-19
Rare Beauty,Toner,1221.28,5.0,58,Dry,56+,Hyaluronic Acid,Titanium Dioxide,Pores,2024-09-27
Paula's Choice,Night Cream,1598.29,3.4,34,Combination,26-35,Glycolic Acid,Jojoba Oil,Hyperpigmentation,2025-04-28
CeraVe,Night Cream,1626.51,4.8,24,Acne-prone,46-55,Jojoba Oil,Bakuchiol,Acne,2024-11-01
Rare Beauty,Moisturizer,1440.62,3.5,344,Oily,18-25,Tea Tree Oil,Benzoyl Peroxide,Dullness,2024-05-27
L'Oreal,Serum,2433.99,5.0,25,Dry,46-55,Retinol,Benzoyl Peroxide,Dullness,2025-01-20
Fresh,Toner,1364.59,5.0,94,Sensitive,26-35,Vitamin C,Niacinamide,Pores,2025-05-15
Origins,Facial Oil,1291.82,5.0,203,Combination,46-55,Vitamin C,Niacinamide,Hyperpigmentation,2024-01-06
Drunk Elephant,Night Cream,5164.5,5.0,16,Normal,36-45,Azelaic Acid,Ceramides,Redness,2024-07-15
Origins,Facial Oil,2046.75,5.0,129,Sensitive,46-55,Salicylic Acid,Kojic Acid,Oiliness,2024-05-13
Aveeno,Face Mask,651.43,2.8,70,Oily,46-55,Bakuchiol,Jojoba Oil,Dullness,2025-02-03
Origins,Night Cream,1525.67,4.5,28,Oily,26-35,Titanium Dioxide,Bakuchiol,Dryness,2025-05-16
Olay,Sunscreen,1157.47,4.5,41,Acne-prone,36-45,Benzoyl Peroxide,Titanium Dioxide,Uneven texture,2024-05-06
Olay,Facial Oil,2316.78,5.0,72,Sensitive,26-35,Titanium Dioxide,Jojoba Oil,Acne,2024-04-09
La Roche-Posay,Night Cream,2106.29,4.5,31,Combination,56+,Lactic Acid,Azelaic Acid,Dark spots,2025-01-15
Clinique,Cleanser,820.2,3.7,148,Acne-prone,18-25,Kojic Acid,Retinol,Fine lines,2024-07-12
Clinique,Serum,3952.99,5.0,219,Normal,46-55,Ceramides,Lactic Acid,Redness,2023-10-27
Fenty Beauty,Facial Oil,2255.04,4.0,8,Combination,18-25,Glycolic Acid,Bakuchiol,Fine lines,2024-04-28
Glossier,Moisturizer,1436.42,4.6,7,Combination,26-35,Peptides,Alpha Arbutin,Dullness,2024-10-25
The Ordinary,Cleanser,688.21,3.9,10,Oily,56+,Kojic Acid,Lactic Acid,Fine lines,2024-10-15
Neutrogena,Exfoliant,1234.28,3.8,140,Normal,18-25,Salicylic Acid,Kojic Acid,Sensitivity,2023-09-20
Glossier,Face Mask,936.49,4.2,200,Combination,56+,Peptides,Vitamin C,Uneven texture,2024-10-04
Clinique,Facial Oil,3806.21,5.0,929,Oily,36-45,Tea Tree Oil,Titanium Dioxide,Uneven texture,2025-03-31
Skinceuticals,Toner,1035.64,3.1,21,Oily,36-45,Titanium Dioxide,Squalane,Pores,2025-06-10
L'Oreal,Eye Cream,1701.35,5.0,853,Normal,36-45,Niacinamide,Tea Tree Oil,Dark spots,2024-09-23
Olay,Sunscreen,1500.7,4.8,99,Sensitive,18-25,Squalane,Alpha Arbutin,Redness,2025-09-16
CeraVe,Serum,2186.68,5.0,17,Dry,56+,Kojic Acid,Squalane,Dullness,2025-02-24
Kiehl's,Eye Cream,2412.32,5.0,54,Normal,18-25,Niacinamide,Hyaluronic Acid,Sensitivity,2024-12-22
Kiehl's,Toner,2007.64,5.0,12,Oily,36-45,Jojoba Oil,Retinol,Redness,2024-01-30
La Roche-Posay,Facial Oil,2444.47,4.8,5,Normal,18-25,Ceramides,Retinol,Uneven texture,2024-03-14
CeraVe,Exfoliant,953.08,3.2,45,Dry,46-55,Ceramides,Jojoba Oil,Dryness,2024-10-03
Fenty Beauty,Toner,1350.41,4.4,38,Acne-prone,46-55,Vitamin C,Retinol,Hyperpigmentation,2023-12-13
Drunk Elephant,Night Cream,3964.32,5.0,6,Normal,46-55,Tea Tree Oil,Azelaic Acid,Hyperpigmentation,2024-06-01
Paula's Choice,Face Mask,554.06,2.9,26,Normal,56+,Tea Tree Oil,Bakuchiol,Pores,2024-06-13
Drunk Elephant,Eye Cream,3964.42,5.0,64,Acne-prone,36-45,Squalane,Titanium Dioxide,Fine lines,2025-05-04
Glossier,Toner,824.46,4.2,32,Combination,18-25,Lactic Acid,Niacinamide,Oiliness,2024-03-16
Origins,Facial Oil,1369.37,3.8,28,Sensitive,18-25,Zinc Oxide,Glycolic Acid,Fine lines,2024-01-23
Rare Beauty,Eye Cream,1718.45,3.2,7,Oily,18-25,Ceramides,Retinol,Sensitivity,2025-03-29
Tatcha,Night Cream,2864.23,4.6,15,Oily,18-25,Benzoyl Peroxide,Titanium Dioxide,Anti-aging,2025-09-08
Fresh,Serum,2676.22,5.0,25,Normal,56+,Hyaluronic Acid,Glycolic Acid,Pores,2025-06-24
Estee Lauder,Exfoliant,1687.15,4.1,3,Combination,18-25,Tea Tree Oil,Benzoyl Peroxide,Anti-aging,2023-10-16
Estee Lauder,Night Cream,3301.55,4.6,463,Combination,56+,Lactic Acid,Titanium Dioxide,Anti-aging,2024-08-16
Fenty Beauty,Face Mask,845.16,3.8,120,Oily,46-55,Kojic Acid,Tea Tree Oil,Hyperpigmentation,2024-12-06
Tatcha,Eye Cream,3027.13,5.0,35,Combination,18-25,Ceramides,Bakuchiol,Anti-aging,2024-12-10
Fenty Beauty,Serum,1987.85,4.2,322,Oily,18-25,Hyaluronic Acid,Benzoyl Peroxide,Anti-aging,2024-01-18
Fenty Beauty,Cleanser,530.21,2.5,37,Normal,26-35,Zinc Oxide,Niacinamide,Fine lines,2024-08-19
L'Oreal,Face Mask,718.51,3.8,445,Oily,18-25,Hyaluronic Acid,Lactic Acid,Acne,2025-01-27
Kiehl's,Serum,1764.73,3.6,68,Acne-prone,56+,Peptides,Zinc Oxide,Uneven texture,2025-08-28
Paula's Choice,Facial Oil,1249.32,3.8,19,Sensitive,56+,Hyaluronic Acid,Azelaic Acid,Dullness,2024-09-20
Youth to the People,Serum,1923.37,5.0,14,Sensitive,26-35,Vitamin C,Azelaic Acid,Uneven texture,2024-03-10
Aveeno,Exfoliant,948.83,4.6,21,Normal,56+,Retinol,Vitamin C,Uneven texture,2024-10-22
L'Oreal,Night Cream,2768.25,5.0,108,Combination,36-45,Salicylic Acid,Zinc Oxide,Hyperpigmentation,2023-10-31
Aveeno,Moisturizer,973.38,1.6,102,Dry,36-45,Ceramides,Jojoba Oil,Fine lines,2024-06-26
Glossier,Cleanser,589.22,4.0,19,Normal,26-35,Hyaluronic Acid,Titanium Dioxide,Pores,2024-08-17
Kiehl's,Face Mask,1015.06,3.1,17,Normal,18-25,Titanium Dioxide,Squalane,Dryness,2025-03-13
Aveeno,Face Mask,973.46,2.8,19,Normal,56+,Peptides,Titanium Dioxide,Fine lines,2025-08-12
Glossier,Face Mask,432.54,3.8,1055,Acne-prone,26-35,Retinol,Salicylic Acid,Acne,2024-04-20
Glossier,Exfoliant,921.23,2.4,28,Sensitive,18-25,Retinol,Ceramides,Uneven texture,2024-04-28
Estee Lauder,Eye Cream,2918.77,5.0,86,Dry,18-25,Peptides,Salicylic Acid,Uneven texture,2024-11-19
Skinceuticals,Eye Cream,3893.4,5.0,16,Normal,26-35,Alpha Arbutin,Hyaluronic Acid,Dark spots,2025-08-01
Drunk Elephant,Moisturizer,2168.93,5.0,17,Sensitive,18-25,Peptides,Jojoba Oil,Dark spots,2024-01-10
Estee Lauder,Facial Oil,2495.69,5.0,49,Oily,46-55,Benzoyl Peroxide,Tea Tree Oil,Fine lines,2024-03-13
La Roche-Posay,Sunscreen,1352.15,3.9,43,Combination,56+,Zinc Oxide,Niacinamide,Anti-aging,2024-11-22
The Ordinary,Moisturizer,926.91,3.4,82,Oily,36-45,Benzoyl Peroxide,Zinc Oxide,Anti-aging,2025-09-07
The Ordinary,Night Cream,1933.37,3.7,100,Normal,26-35,Titanium Dioxide,Bakuchiol,Oiliness,2024-03-06
Skinceuticals,Moisturizer,1365.82,5.0,300,Sensitive,18-25,Hyaluronic Acid,Titanium Dioxide,Oiliness,2024-08-08
Aveeno,Cleanser,1075.9,3.5,48,Combination,36-45,Hyaluronic Acid,Ceramides,Redness,2024-08-24
Kiehl's,Face Mask,763.96,2.9,10,Acne-prone,46-55,Benzoyl Peroxide,Kojic Acid,Hyperpigmentation,2023-11-24
Youth to the People,Exfoliant,1432.22,4.0,126,Combination,18-25,Zinc Oxide,Niacinamide,Sensitivity,2024-05-22
Paula's Choice,Moisturizer,890.37,4.1,30,Oily,46-55,Alpha Arbutin,Azelaic Acid,Redness,2024-06-20
Rare Beauty,Toner,747.06,4.3,108,Sensitive,26-35,Retinol,Zinc Oxide,Anti-aging,2025-09-04
Drunk Elephant,Cleanser,1290.5,3.8,59,Oily,18-25,Squalane,Vitamin C,Sensitivity,2024-07-03
La Roche-Posay,Night Cream,3582.74,5.0,32,Sensitive,56+,Niacinamide,Lactic Acid,Uneven texture,2025-05-17
CeraVe,Sunscreen,1427.04,3.5,1017,Combination,18-25,Salicylic Acid,Vitamin C,Dullness,2025-03-12
Drunk Elephant,Moisturizer,2093.07,4.4,61,Oily,36-45,Hyaluronic Acid,Bakuchiol,Anti-aging,2024-10-20
Neutrogena,Eye Cream,1464.98,4.7,125,Normal,18-25,Ceramides,Salicylic Acid,Oiliness,2024-09-09
Glossier,Sunscreen,1609.47,4.2,5,Acne-prone,18-25,Azelaic Acid,Squalane,Dullness,2025-06-16
L'Oreal,Facial Oil,2401.28,4.5,162,Sensitive,26-35,Tea Tree Oil,Kojic Acid,Anti-aging,2024-04-08
CeraVe,Night Cream,3502.21,5.0,13,Combination,56+,Squalane,Tea Tree Oil,Redness,2025-07-27
CeraVe,Serum,1509.9,3.6,117,Normal,56+,Tea Tree Oil,Peptides,Pores,2025-08-11
L'Oreal,Sunscreen,1022.86,2.3,138,Combination,46-55,Lactic Acid,Bakuchiol,Fine lines,2024-08-26
Youth to the People,Exfoliant,1877.82,4.1,28,Oily,46-55,Alpha Arbutin,Kojic Acid,Oiliness,2024-05-06
Kiehl's,Eye Cream,1915.64,2.3,20,Normal,36-45,Peptides,Bakuchiol,Sensitivity,2025-04-09
Kiehl's,Face Mask,1576.52,4.0,26,Sensitive,56+,Zinc Oxide,Jojoba Oil,Pores,2025-03-21
The Ordinary,Eye Cream,2980.89,5.0,224,Sensitive,56+,Niacinamide,Retinol,Dark spots,2024-07-19
Youth to the People,Eye Cream,2298.16,5.0,91,Oily,56+,Glycolic Acid,Lactic Acid,Pores,2025-04-20
The Ordinary,Exfoliant,2231.57,5.0,176,Sensitive,26-35,Ceramides,Salicylic Acid,Redness,2025-07-18
Aveeno,Exfoliant,1543.53,4.2,74,Sensitive,46-55,Niacinamide,Vitamin C,Sensitivity,2025-06-07
Skinceuticals,Serum,1684.47,3.5,37,Combination,26-35,Ceramides,Hyaluronic Acid,Pores,2024-08-07
Tatcha,Facial Oil,2489.13,4.1,283,Oily,46-55,Squalane,Glycolic Acid,Dark spots,2024-03-25
Olay,Serum,2322.68,4.6,40,Normal,56+,Lactic Acid,Squalane,Dark spots,2025-03-12
Origins,Exfoliant,2254.87,4.1,26,Dry,56+,Jojoba Oil,Niacinamide,Redness,2025-03-15
Drunk Elephant,Exfoliant,2004.21,3.8,94,Sensitive,36-45,Bakuchiol,Azelaic Acid,Acne,2024-05-15
Paula's Choice,Sunscreen,741.93,3.6,137,Sensitive,46-55,Niacinamide,Peptides,Uneven texture,2024-10-20
Youth to the People,Toner,1366.27,3.4,7,Acne-prone,56+,Alpha Arbutin,Benzoyl Peroxide,Sensitivity,2024-01-29
Neutrogena,Eye Cream,2364.5,3.5,134,Combination,56+,Jojoba Oil,Glycolic Acid,Dark spots,2024-02-19
Olay,Eye Cream,2508.75,4.7,350,Acne-prone,56+,Azelaic Acid,Lactic Acid,Pores,2024-05-19
Skinceuticals,Night Cream,5320.32,5.0,83,Normal,26-35,Ceramides,Hyaluronic Acid,Acne,2025-02-06
CeraVe,Cleanser,1127.37,4.2,48,Oily,18-25,Kojic Acid,Vitamin C,Anti-aging,2025-06-03
Olay,Eye Cream,2442.46,5.0,75,Sensitive,56+,Lactic Acid,Tea Tree Oil,Oiliness,2025-01-31
Rare Beauty,Face Mask,712.2,4.1,172,Acne-prone,46-55,Jojoba Oil,Vitamin C,Dullness,2024-11-09
Fenty Beauty,Night Cream,2721.17,5.0,172,Oily,56+,Titanium Dioxide,Jojoba Oil,Redness,2024-05-05
La Roche-Posay,Exfoliant,1405.29,5.0,5,Combination,18-25,Salicylic Acid,Vitamin C,Redness,2023-09-30
Fenty Beauty,Face Mask,838.34,2.9,293,Acne-prone,56+,Tea Tree Oil,Squalane,Dryness,2024-07-09
Fresh,Cleanser,1188.0,3.5,85,Sensitive,18-25,Glycolic Acid,Hyaluronic Acid,Dullness,2025-08-22
Youth to the People,Moisturizer,1224.69,4.0,53,Acne-prone,18-25,Peptides,Niacinamide,Uneven texture,2025-08-01
Glossier,Face Mask,818.99,3.3,118,Acne-prone,26-35,Tea Tree Oil,Lactic Acid,Dark spots,2024-09-14
Clinique,Facial Oil,3119.26,5.0,14,Sensitive,18-25,Retinol,Peptides,Acne,2025-07-29
La Roche-Posay,Toner,756.67,3.3,31,Oily,46-55,Kojic Acid,Alpha Arbutin,Hyperpigmentation,2024-01-15
Neutrogena,Moisturizer,1975.31,4.3,74,Oily,36-45,Hyaluronic Acid,Niacinamide,Redness,2024-12-12
CeraVe,Face Mask,853.55,3.3,80,Oily,18-25,Peptides,Hyaluronic Acid,Sensitivity,2024-06-13
Rare Beauty,Serum,1239.12,4.5,46,Acne-prone,26-35,Peptides,Tea Tree Oil,Dullness,2024-11-18
Fresh,Serum,1231.27,3.8,182,Normal,26-35,Glycolic Acid,Zinc Oxide,Anti-aging,2024-07-20
Paula's Choice,Night Cream,2269.22,3.8,409,Oily,18-25,Ceramides,Benzoyl Peroxide,Dryness,2025-04-14
Fresh,Night Cream,2879.69,5.0,37,Combination,46-55,Vitamin C,Ceramides,Redness,2023-10-15
Olay,Toner,1109.6,3.4,22,Normal,26-35,Jojoba Oil,Kojic Acid,Fine lines,2025-03-08
Estee Lauder,Eye Cream,2591.07,5.0,15,Acne-prone,46-55,Retinol,Lactic Acid,Pores,2025-07-26
La Roche-Posay,Serum,2714.79,5.0,228,Oily,36-45,Jojoba Oil,Ceramides,Fine lines,2025-01-29
Kiehl's,Eye Cream,2525.86,5.0,101,Acne-prone,36-45,Peptides,Alpha Arbutin,Pores,2024-01-29
Fenty Beauty,Serum,2869.08,5.0,41,Combination,56+,Retinol,Peptides,Anti-aging,2023-09-20
Olay,Serum,2242.53,5.0,35,Normal,36-45,Squalane,Niacinamide,Anti-aging,2023-10-04
Glossier,Moisturizer,1519.36,4.7,97,Acne-prone,56+,Hyaluronic Acid,Zinc Oxide,Dullness,2025-02-15
Fresh,Exfoliant,2118.29,5.0,879,Sensitive,18-25,Lactic Acid,Vitamin C,Dullness,2024-07-17
Glossier,Sunscreen,755.57,2.3,426,Normal,46-55,Retinol,Hyaluronic Acid,Acne,2023-11-24
Neutrogena,Night Cream,2738.13,5.0,5,Acne-prone,46-55,Tea Tree Oil,Lactic Acid,Dark spots,2025-07-13
CeraVe,Cleanser,1194.31,4.8,33,Dry,18-25,Benzoyl Peroxide,Tea Tree Oil,Acne,2023-12-10
