Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,
CeraVe,Exfoliant,1241.19,3.8,210,Combination,46-55,Hyaluronic Acid,Zinc Oxide,Dryness,
Youth to the People,Serum,2492.44,3.4,12,Oily,46-55,Hyaluronic Acid,Kojic Acid,Anti-aging,
Aveeno,Eye Cream,2099.02,5,168,Combination,56+,Tea Tree Oil,Niacinamide,Dryness,
Olay,Cleanser,659.17,4.7,36,Sensitive,46-55,Peptides,Ceramides,Pores,
CeraVe,Facial Oil,2277.11,4.3,13,Acne-prone,46-55,Lactic Acid,Bakuchiol,Dark spots,
La Roche-Posay,Night Cream,3592.02,5,86,Dry,18-25,Lactic Acid,Titanium Dioxide,Redness,
Paula's Choice,Eye Cream,2730.54,4.3,24,Normal,18-25,Hyaluronic Acid,Vitamin C,Dullness,
The Ordinary,Face Mask,546.97,2.6,546,Oily,36-45,Hyaluronic Acid,Retinol,Dryness,
Estee Lauder,Moisturizer,1285.19,4.4,5,Acne-prone,36-45,Glycolic Acid,Salicylic Acid,Hyperpigmentation,
Origins,Moisturizer,1248.89,3.4,17,Combination,56+,Niacinamide,Vitamin C,Oiliness,
Paula's Choice,Serum,2445.16,4.5,68,Combination,56+,Zinc Oxide,Salicylic Acid,Fine lines,
Estee Lauder,Night Cream,3111.89,5,44,Combination,26-35,Glycolic Acid,Azelaic Acid,Dryness,
La Roche-Posay,Night Cream,1683.25,3.6,55,Dry,56+,Bakuchiol,Vitamin C,Dark spots,
The Ordinary,Facial Oil,1050.55,3.6,310,Sensitive,18-25,Vitamin C,Hyaluronic Acid,Dark spots,
Fresh,Moisturizer,950.43,3.6,123,Acne-prone,36-45,Salicylic Acid,Lactic Acid,Hyperpigmentation,
Youth to the People,Sunscreen,718.11,3.8,146,Sensitive,36-45,Bakuchiol,Retinol,Fine lines,
Youth to the People,Facial Oil,1626.58,4.7,39,Dry,56+,Squalane,Peptides,Redness,
Origins,Eye Cream,3161.85,5,88,Oily,18-25,Squalane,Lactic Acid,Redness,
Fenty Beauty,Exfoliant,1128.53,3,47,Combination,26-35,Squalane,Lactic Acid,Pores,
La Roche-Posay,Moisturizer,1799.25,5,15,Acne-prone,26-35,Titanium Dioxide,Ceramides,Acne,
Clinique,Moisturizer,2200.2,5,39,Combination,18-25,Tea Tree Oil,Titanium Dioxide,Dryness,
Aveeno,Serum,1231.08,4.5,36,Normal,36-45,Jojoba Oil,Niacinamide,Oiliness,
Origins,Serum,1357.4,4.4,12,Normal,36-45,Squalane,Bakuchiol,Hyperpigmentation,
Drunk Elephant,Face Mask,1148.39,3.6,18,Oily,46-55,Vitamin C,Zinc Oxide,Dryness,
Tatcha,Moisturizer,2249.58,4.5,8,Oily,36-45,Salicylic Acid,Azelaic Acid,Pores,
The Ordinary,Exfoliant,2019.36,3.5,58,Sensitive,26-35,Ceramides,Hyaluronic Acid,Dullness,
Glossier,Eye Cream,2243.3,5,96,Acne-prone,46-55,Peptides,Salicylic Acid,Hyperpigmentation,
The Ordinary,Night Cream,2406.81,4.7,18,Combination,46-55,Peptides,Titanium Dioxide,Hyperpigmentation,
Skinceuticals,Facial Oil,2437.83,5,12,Acne-prone,46-55,Squalane,Ceramides,Dullness,
Paula's Choice,Serum,2021.9,3.8,52,Normal,36-45,Titanium Dioxide,Alpha Arbutin,Fine lines,
CeraVe,Night Cream,1778.2,5,25,Dry,36-45,Tea Tree Oil,Titanium Dioxide,Sensitivity,
Clinique,Cleanser,914.9,3.5,49,Combination,56+,Benzoyl Peroxide,Glycolic Acid,Hyperpigmentation,
Rare Beauty,Cleanser,877.6,3.2,71,Oily,46-55,Ceramides,Squalane,Sensitivity,
Origins,Night Cream,2095.7,4.2,732,Acne-prone,46-55,Glycolic Acid,Alpha Arbutin,Dryness,
La Roche-Posay,Moisturizer,1083.6,3.4,90,Acne-prone,36-45,Zinc Oxide,Ceramides,Fine lines,
La Roche-Posay,Night Cream,1415.22,2.6,12,Combination,36-45,Titanium Dioxide,Kojic Acid,Uneven texture,
Clinique,Facial Oil,3862.34,5,51,Sensitive,26-35,Azelaic Acid,Kojic Acid,Fine lines,
Glossier,Eye Cream,2441.97,5,25,Oily,46-55,Niacinamide,Bakuchiol,Dryness,
L'Oreal,Exfoliant,1610.45,5,6,Dry,18-25,Retinol,Peptides,Pores,
Origins,Night Cream,3446.66,5,20,Acne-prone,18-25,Hyaluronic Acid,Zinc Oxide,Acne,
Estee Lauder,Cleanser,957.34,4.2,4,Sensitive,36-45,Kojic Acid,Alpha Arbutin,Sensitivity,
Aveeno,Exfoliant,1258.76,2.8,8,Dry,46-55,Jojoba Oil,Retinol,Oiliness,
Aveeno,Exfoliant,1176.25,4,94,Oily,46-55,Azelaic Acid,Bakuchiol,Acne,
Paula's Choice,Night Cream,2730.67,4.3,10,Combination,36-45,Hyaluronic Acid,Ceramides,Sensitivity,
Fenty Beauty,Exfoliant,1873.98,4.2,30,Oily,18-25,Lactic Acid,Jojoba Oil,Dullness,
Tatcha,Moisturizer,2822.24,5,83,Dry,18-25,Benzoyl Peroxide,Peptides,Hyperpigmentation,
Youth to the People,Toner,1266.64,4,14,Dry,46-55,Benzoyl Peroxide,Tea Tree Oil,Oiliness,
Tatcha,Serum,2127.4,2.8,404,Dry,18-25,Hyaluronic Acid,Vitamin C,Oiliness,
Aveeno,Eye Cream,1547.03,3.5,6,Combination,26-35,Alpha Arbutin,Peptides,Acne,
Drunk Elephant,Toner,1409.71,3.7,7,Acne-prone,56+,Glycolic Acid,Hyaluronic Acid,Dullness,
Estee Lauder,Exfoliant,2415.25,4.7,179,Dry,36-45,Ceramides,Azelaic Acid,Pores,
Neutrogena,Sunscreen,1495.87,4.8,14,Dry,36-45,Glycolic Acid,Retinol,Dark spots,
CeraVe,Moisturizer,954.94,4.3,109,Dry,46-55,Retinol,Kojic Acid,Dryness,
Glossier,Eye Cream,1894.88,5,6,Acne-prone,26-35,Retinol,Peptides,Acne,
Glossier,Night Cream,2095.61,4.7,122,Sensitive,26-35,Alpha Arbutin,Jojoba Oil,Anti-aging,
Neutrogena,Serum,1965.64,4.3,26,Oily,26-35,Vitamin C,Lactic Acid,Dryness,
Glossier,Night Cream,1439.7,3.8,115,Normal,46-55,Alpha Arbutin,Lactic Acid,Hyperpigmentation,
Youth to the People,Eye Cream,2323.8,5,659,Oily,18-25,Niacinamide,Glycolic Acid,Hyperpigmentation,
Rare Beauty,Sunscreen,1504.81,4.8,61,Combination,46-55,Lactic Acid,Hyaluronic Acid,Hyperpigmentation,
Aveeno,Facial Oil,1136.21,4.9,126,Dry,46-55,Tea Tree Oil,Salicylic Acid,Sensitivity,
Fenty Beauty,Eye Cream,3154.25,5,20,Dry,56+,Alpha Arbutin,Lactic Acid,Pores,
Fenty Beauty,Moisturizer,1805.69,4.6,50,Sensitive,26-35,Alpha Arbutin,Lactic Acid,Dryness,
Rare Beauty,Toner,1221.28,5,58,Dry,56+,Hyaluronic Acid,Titanium Dioxide,Pores,
Paula's Choice,Night Cream,1598.29,3.4,34,Combination,26-35,Glycolic Acid,Jojoba Oil,Hyperpigmentation,
CeraVe,Night Cream,1626.51,4.8,24,Acne-prone,46-55,Jojoba Oil,Bakuchiol,Acne,
Rare Beauty,Moisturizer,1440.62,3.5,344,Oily,18-25,Tea Tree Oil,Benzoyl Peroxide,Dullness,
L'Oreal,Serum,2433.99,5,25,Dry,46-55,Retinol,Benzoyl Peroxide,Dullness,
Fresh,Toner,1364.59,5,94,Sensitive,26-35,Vitamin C,Niacinamide,Pores,
Origins,Facial Oil,1291.82,5,203,Combination,46-55,Vitamin C,Niacinamide,Hyperpigmentation,
Drunk Elephant,Night Cream,5164.5,5,16,Normal,36-45,Azelaic Acid,Ceramides,Redness,
Origins,Facial Oil,2046.75,5,129,Sensitive,46-55,Salicylic Acid,Kojic Acid,Oiliness,
Aveeno,Face Mask,651.43,2.8,70,Oily,46-55,Bakuchiol,Jojoba Oil,Dullness,
Origins,Night Cream,1525.67,4.5,28,Oily,26-35,Titanium Dioxide,Bakuchiol,Dryness,
Olay,Sunscreen,1157.47,4.5,41,Acne-prone,36-45,Benzoyl Peroxide,Titanium Dioxide,Uneven texture,
Olay,Facial Oil,2316.78,5,72,Sensitive,26-35,Titanium Dioxide,Jojoba Oil,Acne,
La Roche-Posay,Night Cream,2106.29,4.5,31,Combination,56+,Lactic Acid,Azelaic Acid,Dark spots,
Clinique,Cleanser,820.2,3.7,148,Acne-prone,18-25,Kojic Acid,Retinol,Fine lines,
Clinique,Serum,3952.99,5,219,Normal,46-55,Ceramides,Lactic Acid,Redness,
Fenty Beauty,Facial Oil,2255.04,4,8,Combination,18-25,Glycolic Acid,Bakuchiol,Fine lines,
Glossier,Moisturizer,1436.42,4.6,7,Combination,26-35,Peptides,Alpha Arbutin,Dullness,
The Ordinary,Cleanser,688.21,3.9,10,Oily,56+,Kojic Acid,Lactic Acid,Fine lines,
Neutrogena,Exfoliant,1234.28,3.8,140,Normal,18-25,Salicylic Acid,Kojic Acid,Sensitivity,
Glossier,Face Mask,936.49,4.2,200,Combination,56+,Peptides,Vitamin C,Uneven texture,
Clinique,Facial Oil,3806.21,5,929,Oily,36-45,Tea Tree Oil,Titanium Dioxide,Uneven texture,
Skinceuticals,Toner,1035.64,3.1,21,Oily,36-45,Titanium Dioxide,Squalane,Pores,
L'Oreal,Eye Cream,1701.35,5,853,Normal,36-45,Niacinamide,Tea Tree Oil,Dark spots,
Olay,Sunscreen,1500.7,4.8,99,Sensitive,18-25,Squalane,Alpha Arbutin,Redness,
CeraVe,Serum,2186.68,5,17,Dry,56+,Kojic Acid,Squalane,Dullness,
Kiehl's,Eye Cream,2412.32,5,54,Normal,18-25,Niacinamide,Hyaluronic Acid,Sensitivity,
Kiehl's,Toner,2007.64,5,12,Oily,36-45,Jojoba Oil,Retinol,Redness,
La Roche-Posay,Facial Oil,2444.47,4.8,5,Normal,18-25,Ceramides,Retinol,Uneven texture,
CeraVe,Exfoliant,953.08,3.2,45,Dry,46-55,Ceramides,Jojoba Oil,Dryness,
Fenty Beauty,Toner,1350.41,4.4,38,Acne-prone,46-55,Vitamin C,Retinol,Hyperpigmentation,
Drunk Elephant,Night Cream,3964.32,5,6,Normal,46-55,Tea Tree Oil,Azelaic Acid,Hyperpigmentation,
Paula's Choice,Face Mask,554.06,2.9,26,Normal,56+,Tea Tree Oil,Bakuchiol,Pores,
Drunk Elephant,Eye Cream,3964.42,5,64,Acne-prone,36-45,Squalane,Titanium Dioxide,Fine lines,
Glossier,Toner,824.46,4.2,32,Combination,18-25,Lactic Acid,Niacinamide,Oiliness,
Origins,Facial Oil,1369.37,3.8,28,Sensitive,18-25,Zinc Oxide,Glycolic Acid,Fine lines,
Rare Beauty,Eye Cream,1718.45,3.2,7,Oily,18-25,Ceramides,Retinol,Sensitivity,
Tatcha,Night Cream,2864.23,4.6,15,Oily,18-25,Benzoyl Peroxide,Titanium Dioxide,Anti-aging,
Fresh,Serum,2676.22,5,25,Normal,56+,Hyaluronic Acid,Glycolic Acid,Pores,
Estee Lauder,Exfoliant,1687.15,4.1,3,Combination,18-25,Tea Tree Oil,Benzoyl Peroxide,Anti-aging,
Estee Lauder,Night Cream,3301.55,4.6,463,Combination,56+,Lactic Acid,Titanium Dioxide,Anti-aging,
Fenty Beauty,Face Mask,845.16,3.8,120,Oily,46-55,Kojic Acid,Tea Tree Oil,Hyperpigmentation,
Tatcha,Eye Cream,3027.13,5,35,Combination,18-25,Ceramides,Bakuchiol,Anti-aging,
Fenty Beauty,Serum,1987.85,4.2,322,Oily,18-25,Hyaluronic Acid,Benzoyl Peroxide,Anti-aging,
Fenty Beauty,Cleanser,530.21,2.5,37,Normal,26-35,Zinc Oxide,Niacinamide,Fine lines,
L'Oreal,Face Mask,718.51,3.8,445,Oily,18-25,Hyaluronic Acid,Lactic Acid,Acne,
Kiehl's,Serum,1764.73,3.6,68,Acne-prone,56+,Peptides,Zinc Oxide,Uneven texture,
Paula's Choice,Facial Oil,1249.32,3.8,19,Sensitive,56+,Hyaluronic Acid,Azelaic Acid,Dullness,
Youth to the People,Serum,1923.37,5,14,Sensitive,26-35,Vitamin C,Azelaic Acid,Uneven texture,
Aveeno,Exfoliant,948.83,4.6,21,Normal,56+,Retinol,Vitamin C,Uneven texture,
L'Oreal,Night Cream,2768.25,5,108,Combination,36-45,Salicylic Acid,Zinc Oxide,Hyperpigmentation,
Aveeno,Moisturizer,973.38,1.6,102,Dry,36-45,Ceramides,Jojoba Oil,Fine lines,
Glossier,Cleanser,589.22,4,19,Normal,26-35,Hyaluronic Acid,Titanium Dioxide,Pores,
Kiehl's,Face Mask,1015.06,3.1,17,Normal,18-25,Titanium Dioxide,Squalane,Dryness,
Aveeno,Face Mask,973.46,2.8,19,Normal,56+,Peptides,Titanium Dioxide,Fine lines,
Glossier,Face Mask,432.54,3.8,1055,Acne-prone,26-35,Retinol,Salicylic Acid,Acne,
Glossier,Exfoliant,921.23,2.4,28,Sensitive,18-25,Retinol,Ceramides,Uneven texture,
Estee Lauder,Eye Cream,2918.77,5,86,Dry,18-25,Peptides,Salicylic Acid,Uneven texture,
Skinceuticals,Eye Cream,3893.4,5,16,Normal,26-35,Alpha Arbutin,Hyaluronic Acid,Dark spots,
Drunk Elephant,Moisturizer,2168.93,5,17,Sensitive,18-25,Peptides,Jojoba Oil,Dark spots,
Estee Lauder,Facial Oil,2495.69,5,49,Oily,46-55,Benzoyl Peroxide,Tea Tree Oil,Fine lines,
La Roche-Posay,Sunscreen,1352.15,3.9,43,Combination,56+,Zinc Oxide,Niacinamide,Anti-aging,
The Ordinary,Moisturizer,926.91,3.4,82,Oily,36-45,Benzoyl Peroxide,Zinc Oxide,Anti-aging,
The Ordinary,Night Cream,1933.37,3.7,100,Normal,26-35,Titanium Dioxide,Bakuchiol,Oiliness,
Skinceuticals,Moisturizer,1365.82,5,300,Sensitive,18-25,Hyaluronic Acid,Titanium Dioxide,Oiliness,
Aveeno,Cleanser,1075.9,3.5,48,Combination,36-45,Hyaluronic Acid,Ceramides,Redness,
Kiehl's,Face Mask,763.96,2.9,10,Acne-prone,46-55,Benzoyl Peroxide,Kojic Acid,Hyperpigmentation,
Youth to the People,Exfoliant,1432.22,4,126,Combination,18-25,Zinc Oxide,Niacinamide,Sensitivity,
Paula's Choice,Moisturizer,890.37,4.1,30,Oily,46-55,Alpha Arbutin,Azelaic Acid,Redness,
Rare Beauty,Toner,747.06,4.3,108,Sensitive,26-35,Retinol,Zinc Oxide,Anti-aging,
Drunk Elephant,Cleanser,1290.5,3.8,59,Oily,18-25,Squalane,Vitamin C,Sensitivity,
La Roche-Posay,Night Cream,3582.74,5,32,Sensitive,56+,Niacinamide,Lactic Acid,Uneven texture,
CeraVe,Sunscreen,1427.04,3.5,1017,Combination,18-25,Salicylic Acid,Vitamin C,Dullness,
Drunk Elephant,Moisturizer,2093.07,4.4,61,Oily,36-45,Hyaluronic Acid,Bakuchiol,Anti-aging,
Neutrogena,Eye Cream,1464.98,4.7,125,Normal,18-25,Ceramides,Salicylic Acid,Oiliness,
Glossier,Sunscreen,1609.47,4.2,5,Acne-prone,18-25,Azelaic Acid,Squalane,Dullness,
L'Oreal,Facial Oil,2401.28,4.5,162,Sensitive,26-35,Tea Tree Oil,Kojic Acid,Anti-aging,
CeraVe,Night Cream,3502.21,5,13,Combination,56+,Squalane,Tea Tree Oil,Redness,
CeraVe,Serum,1509.9,3.6,117,Normal,56+,Tea Tree Oil,Peptides,Pores,
L'Oreal,Sunscreen,1022.86,2.3,138,Combination,46-55,Lactic Acid,Bakuchiol,Fine lines,
Youth to the People,Exfoliant,1877.82,4.1,28,Oily,46-55,Alpha Arbutin,Kojic Acid,Oiliness,
Kiehl's,Eye Cream,1915.64,2.3,20,Normal,36-45,Peptides,Bakuchiol,Sensitivity,
Kiehl's,Face Mask,1576.52,4,26,Sensitive,56+,Zinc Oxide,Jojoba Oil,Pores,
The Ordinary,Eye Cream,2980.89,5,224,Sensitive,56+,Niacinamide,Retinol,Dark spots,
Youth to the People,Eye Cream,2298.16,5,91,Oily,56+,Glycolic Acid,Lactic Acid,Pores,
The Ordinary,Exfoliant,2231.57,5,176,Sensitive,26-35,Ceramides,Salicylic Acid,Redness,
Aveeno,Exfoliant,1543.53,4.2,74,Sensitive,46-55,Niacinamide,Vitamin C,Sensitivity,
Skinceuticals,Serum,1684.47,3.5,37,Combination,26-35,Ceramides,Hyaluronic Acid,Pores,
Tatcha,Facial Oil,2489.13,4.1,283,Oily,46-55,Squalane,Glycolic Acid,Dark spots,
Olay,Serum,2322.68,4.6,40,Normal,56+,Lactic Acid,Squalane,Dark spots,
Origins,Exfoliant,2254.87,4.1,26,Dry,56+,Jojoba Oil,Niacinamide,Redness,
Drunk Elephant,Exfoliant,2004.21,3.8,94,Sensitive,36-45,Bakuchiol,Azelaic Acid,Acne,
Paula's Choice,Sunscreen,741.93,3.6,137,Sensitive,46-55,Niacinamide,Peptides,Uneven texture,
Youth to the People,Toner,1366.27,3.4,7,Acne-prone,56+,Alpha Arbutin,Benzoyl Peroxide,Sensitivity,
Neutrogena,Eye Cream,2364.5,3.5,134,Combination,56+,Jojoba Oil,Glycolic Acid,Dark spots,
Olay,Eye Cream,2508.75,4.7,350,Acne-prone,56+,Azelaic Acid,Lactic Acid,Pores,
Skinceuticals,Night Cream,5320.32,5,83,Normal,26-35,Ceramides,Hyaluronic Acid,Acne,
CeraVe,Cleanser,1127.37,4.2,48,Oily,18-25,Kojic Acid,Vitamin C,Anti-aging,
Olay,Eye Cream,2442.46,5,75,Sensitive,56+,Lactic Acid,Tea Tree Oil,Oiliness,
Rare Beauty,Face Mask,712.2,4.1,172,Acne-prone,46-55,Jojoba Oil,Vitamin C,Dullness,
Fenty Beauty,Night Cream,2721.17,5,172,Oily,56+,Titanium Dioxide,Jojoba Oil,Redness,
La Roche-Posay,Exfoliant,1405.29,5,5,Combination,18-25,Salicylic Acid,Vitamin C,Redness,
Fenty Beauty,Face Mask,838.34,2.9,293,Acne-prone,56+,Tea Tree Oil,Squalane,Dryness,
Fresh,Cleanser,1188,3.5,85,Sensitive,18-25,Glycolic Acid,Hyaluronic Acid,Dullness,
Youth to the People,Moisturizer,1224.69,4,53,Acne-prone,18-25,Peptides,Niacinamide,Uneven texture,
Glossier,Face Mask,818.99,3.3,118,Acne-prone,26-35,Tea Tree Oil,Lactic Acid,Dark spots,
Clinique,Facial Oil,3119.26,5,14,Sensitive,18-25,Retinol,Peptides,Acne,
La Roche-Posay,Toner,756.67,3.3,31,Oily,46-55,Kojic Acid,Alpha Arbutin,Hyperpigmentation,
Neutrogena,Moisturizer,1975.31,4.3,74,Oily,36-45,Hyaluronic Acid,Niacinamide,Redness,
CeraVe,Face Mask,853.55,3.3,80,Oily,18-25,Peptides,Hyaluronic Acid,Sensitivity,
Rare Beauty,Serum,1239.12,4.5,46,Acne-prone,26-35,Peptides,Tea Tree Oil,Dullness,
Fresh,Serum,1231.27,3.8,182,Normal,26-35,Glycolic Acid,Zinc Oxide,Anti-aging,
Paula's Choice,Night Cream,2269.22,3.8,409,Oily,18-25,Ceramides,Benzoyl Peroxide,Dryness,
Fresh,Night Cream,2879.69,5,37,Combination,46-55,Vitamin C,Ceramides,Redness,
Olay,Toner,1109.6,3.4,22,Normal,26-35,Jojoba Oil,Kojic Acid,Fine lines,
Estee Lauder,Eye Cream,2591.07,5,15,Acne-prone,46-55,Retinol,Lactic Acid,Pores,
La Roche-Posay,Serum,2714.79,5,228,Oily,36-45,Jojoba Oil,Ceramides,Fine lines,
Kiehl's,Eye Cream,2525.86,5,101,Acne-prone,36-45,Peptides,Alpha Arbutin,Pores,
Fenty Beauty,Serum,2869.08,5,41,Combination,56+,Retinol,Peptides,Anti-aging,
Olay,Serum,2242.53,5,35,Normal,36-45,Squalane,Niacinamide,Anti-aging,
Glossier,Moisturizer,1519.36,4.7,97,Acne-prone,56+,Hyaluronic Acid,Zinc Oxide,Dullness,
Fresh,Exfoliant,2118.29,5,879,Sensitive,18-25,Lactic Acid,Vitamin C,Dullness,
Glossier,Sunscreen,755.57,2.3,426,Normal,46-55,Retinol,Hyaluronic Acid,Acne,
Neutrogena,Night Cream,2738.13,5,5,Acne-prone,46-55,Tea Tree Oil,Lactic Acid,Dark spots,
CeraVe,Cleanser,1194.31,4.8,33,Dry,18-25,Benzoyl Peroxide,Tea Tree Oil,Acne,
Glossier,Night Cream,1985.5,4.5,62,Acne-prone,56+,Glycolic Acid,Peptides,Pores,
Rare Beauty,Exfoliant,2251.28,5,83,Acne-prone,46-55,Bakuchiol,Hyaluronic Acid,Dryness,
Fresh,Face Mask,493.98,3,8,Combination,18-25,Peptides,Titanium Dioxide,Pores,
Fenty Beauty,Moisturizer,1984.6,4.3,3,Dry,36-45,Glycolic Acid,Zinc Oxide,Dark spots,
Kiehl's,Night Cream,3067.53,5,168,Combination,18-25,Bakuchiol,Benzoyl Peroxide,Fine lines,
Tatcha,Face Mask,1002.54,2.8,36,Normal,36-45,Zinc Oxide,Alpha Arbutin,Acne,
Kiehl's,Facial Oil,2597.13,5,2,Combination,26-35,Jojoba Oil,Kojic Acid,Dullness,
Aveeno,Moisturizer,864.94,3.5,143,Sensitive,46-55,Jojoba Oil,Zinc Oxide,Dark spots,
Kiehl's,Eye Cream,2716.74,5,51,Dry,56+,Titanium Dioxide,Salicylic Acid,Pores,
L'Oreal,Facial Oil,1382.96,3.6,84,Oily,18-25,Jojoba Oil,Retinol,Dullness,
La Roche-Posay,Facial Oil,2256.54,5,185,Dry,56+,Kojic Acid,Titanium Dioxide,Dryness,
La Roche-Posay,Face Mask,646.48,3.2,277,Dry,56+,Niacinamide,Kojic Acid,Dark spots,
Paula's Choice,Toner,1390.87,3,105,Sensitive,46-55,Alpha Arbutin,Glycolic Acid,Redness,
Tatcha,Facial Oil,1955.71,4.2,23,Normal,56+,Ceramides,Squalane,Redness,
Glossier,Eye Cream,1729.31,4.2,14,Sensitive,18-25,Kojic Acid,Azelaic Acid,Dryness,
Aveeno,Cleanser,784.7,3.9,10,Acne-prone,46-55,Squalane,Benzoyl Peroxide,Uneven texture,
Rare Beauty,Night Cream,2036.78,4,24,Combination,56+,Peptides,Hyaluronic Acid,Dark spots,
Fenty Beauty,Serum,1672.77,4.6,91,Combination,36-45,Salicylic Acid,Jojoba Oil,Dullness,
The Ordinary,Serum,2034.48,4.3,127,Acne-prone,36-45,Niacinamide,Titanium Dioxide,Acne,
Glossier,Serum,1908.22,3,210,Sensitive,18-25,Hyaluronic Acid,Squalane,Oiliness,
Skinceuticals,Serum,2854.55,5,40,Dry,36-45,Jojoba Oil,Retinol,Uneven texture,
La Roche-Posay,Sunscreen,714.98,4.3,128,Normal,36-45,Vitamin C,Squalane,Hyperpigmentation,
Clinique,Facial Oil,3835.9,5,52,Normal,36-45,Bakuchiol,Ceramides,Redness,
Clinique,Facial Oil,3347.86,5,39,Acne-prone,26-35,Zinc Oxide,Jojoba Oil,Dullness,
Olay,Facial Oil,1654.79,3.9,66,Normal,18-25,Bakuchiol,Glycolic Acid,Sensitivity,
Clinique,Cleanser,1051.74,4.1,108,Combination,56+,Kojic Acid,Hyaluronic Acid,Sensitivity,
Origins,Eye Cream,2303.71,4.3,34,Oily,56+,Kojic Acid,Niacinamide,Acne,
Neutrogena,Eye Cream,2153.14,5,13,Dry,26-35,Retinol,Niacinamide,Dryness,
